personId,buildingName,roomName,bedName,bedId
5594bbf8-f2fe-4a4f-b88f-54df252d0309,Pine Hall,Room-1,Bed-1,2143605e-8854-414b-8ad1-0f0203a370d5
05ee7cdf-9306-492c-a2d1-3104928640ec,Pine Hall,Room-1,Bed-2,31a6601b-3b48-4e65-a064-75fc34cf80ea
4b9c0758-de62-47d6-b78c-f29e754970af,Pine Hall,Room-2,Bed-1,67522423-d8c3-40d1-94dc-d000efb39064
045bdbc8-9945-4f75-bf1c-2a8079073d31,Pine Hall,Room-2,Bed-2,31b16eda-2189-4f0b-89a8-f421ffb55b27
4b86c4b1-c1e1-4714-9b34-0153654200c1,Pine Hall,Room-2,Bed-3,67466db1-4544-4812-a08d-147bf7eff4b1
38105ca3-9f4c-435a-898d-6cdef0b086f4,Pine Hall,Room-2,Bed-4,1ca8ce81-fa90-4d56-8c74-3db0c6401b85
ffc27e39-615e-4d11-871f-7f4bf7cf8f2b,Pine Hall,Room-3,Bed-1,7620d2c1-0090-43e5-8e18-c298375f1d87
2908e3ca-b282-460d-b0fa-f951c014f908,Pine Hall,Room-3,Bed-2,48ecbc38-39ac-40cc-9cfe-d5a5e6042b13
285afe71-e92a-4cce-b503-0491156d5295,Pine Hall,Room-3,Bed-3,690bf8ee-7b52-45e9-945a-84b6eff802f8
0bc9196f-5392-4de2-82d9-6db439797175,Pine Hall,Room-3,Bed-4,69ade99a-603f-436c-8bbe-d914860a7574
81da5bbd-2fdf-4a3e-8fbc-e90823dd17cc,Oak Hall,Room-4,Bed-1,62e014b7-5e43-4634-aa27-64ed6cdf121b
903505f4-3cd9-4551-a862-fe7488389271,Oak Hall,Room-4,Bed-2,6a2b3a7f-7d06-4cfa-bfbc-752679a64c0e
34b0dc37-445b-4539-a2f9-b52716389ae3,Oak Hall,Room-4,Bed-3,d40236dd-61c0-4a69-a8cb-1e8d905111bd
66492a4f-0832-4f81-9489-589f17cf54fc,Oak Hall,Room-4,Bed-4,1a2d3615-2080-4b06-8550-6b5e370a4ef0
37949121-3b04-4a9a-9145-90f78cff18c8,Pine Hall,Room-5,Bed-1,e1045033-5bf1-4813-b857-3764b63627f6
d5e8d377-6e76-4b40-b424-3e02b822bd19,Pine Hall,Room-5,Bed-2,987a52b9-86d6-462f-8cac-85e790f32d68
b45d7f03-5b4e-400e-a4d3-30c2d6116caa,Pine Hall,Room-5,Bed-3,56a31cac-45da-4e72-ad96-27ea96d4c2d8
db4cd7b2-eb38-4f1e-aa9c-fdf8876d92d1,Pine Hall,Room-6,Bed-1,69f91100-52fc-4288-8121-7fe35278f10a
4e51e114-5b48-4325-81d9-0366ce849929,Pine Hall,Room-6,Bed-2,ae0c1e52-0608-4660-9a90-a31b2fe3a126
4634c789-6ab0-45b8-baa4-b754adadcca4,Pine Hall,Room-6,Bed-3,ae208a60-cb66-40a9-a30d-2f9606815143
99a65013-189b-4a77-85d6-e7153c04f2db,Birch Hall,Room-7,Bed-1,44eaa783-4872-45ae-a939-5f5ac1112f8a
fc1179d6-a61e-4f6c-9986-210e99da9491,Birch Hall,Room-7,Bed-2,dd6dbcfb-611a-495a-a891-c41cbed43c6d
da5fc4f4-8174-4ab6-acc4-6bfd3673c5ce,Birch Hall,Room-7,Bed-3,010cb30d-ab1f-45ae-aa02-332fea851cc7
01f289cb-892a-42c5-871a-17619e64dae4,Birch Hall,Room-7,Bed-4,1c2a56db-2869-4a89-920e-2dc094d1ac9d
657e2cde-1100-414a-857c-da36c232cecf,Birch Hall,Room-8,Bed-1,ce1102e5-5862-4fd8-a2ca-4eabaa061c3d
da49a031-9770-4c30-9996-223912fbcc84,Birch Hall,Room-8,Bed-2,991ab14c-02d3-42b3-95e1-c2bc8a79a4fd
c4583158-8621-4dd1-b9dc-e01317b9bec8,Birch Hall,Room-9,Bed-1,7dc7ef06-f5a6-430b-a0c2-24c67511997d
f822c764-9535-4d61-acef-3be182e1e227,Birch Hall,Room-9,Bed-2,c1ce808b-8398-49a0-af02-24912fe074d5
415e9738-1752-4715-95b2-77b907373988,Birch Hall,Room-9,Bed-3,8daefdee-0465-47c9-8888-8b1ad0bd679f
